WordA	WordB	Cossim
musician	storyteller	0.5606789773560509
several	thirty	0.5910335473568662
disconnected	unplug	0.553958283850967
then	awhile	0.5657128431432449
rooster	duck	0.5645387380614991
wondering	sadly	0.6181946355217252
limit	exceed	0.5961596852989908
do	idea	0.5955466872833285
argument	accusation	0.5539785538943124
obvious	careful	0.5730478934385079
well	seem	0.6464174201302648
fighting	war	0.6284109260183952
yet	good	0.6369944470920871
literal	allegorical	0.551882481772558
expenses	deduct	0.6365920797327392
airplane	fly	0.6172400065104761
everyone	fact	0.6407927507529679
malice	treachery	0.6319187182939887
comparably	correspondingly	0.5643061231104174
forget	meant	0.6258716435651973
agree	there	0.5701988651473245
more	bring	0.5691435404437163
howl	thunder	0.5541969003179161
fuck	bang	0.5812222885484077
ruby	garnet	0.6464111776716759
unraveled	unfolded	0.5737624058027434
usual	few	0.6326745914610427
blackhead	blemish	0.5733624902427817
ingredients	nutritional	0.6040829690704737
forest	wetland	0.574159010737456
