WordA	WordB	Cossim
map	birdseed	-0.13520915607800332
table	glowworm	-0.15322079189449522
speakers	kerchief	-0.15476102147804727
snow	schoolbook	-0.13686321809668378
office	nectarine	-0.14938062267491503
thread	schoolteacher	-0.14985212858240438
house	tweezer	-0.16038832817132853
rail	housefly	-0.14102909127518215
page	sandbank	-0.15308971039410824
airport	fishhook	-0.13082408917492305
