WordA	WordB	Cossim
handgun	pistol	0.8453777112956671
purse	handbag	0.8381427297169992
toe	heel	0.8521365759412544
ammunition	ammo	0.8382124013537476
zucchini	eggplant	0.8483642671202581
mozzarella	ricotta	0.831081312113265
softball	volleyball	0.8424908160239267
hamburger	burger	0.8418340677288465
onion	garlic	0.8716290574082826
bracelet	necklace	0.8887869152586506
