WordA	WordB	Cossim
empathy	officially	-0.07593374463160951
spellbound	conventional	-0.04837687386944878
insensitive	thence	-0.01894490338903565
heartwarming	arbitrarily	-0.029766746647640563
unmeaning	generally	-0.04204865646669864
transcendental	blamed	-0.047922938474867616
divine	charmless	-0.04611889052175333
irreplaceable	unsuccessfully	-0.03370046683177419
endlessly	unplaced	-0.05169295751142289
relatively	perceptiveness	-0.0405363345320795
